id,title,description,date,start_time,end_time,venue,room,speakers,knowledge_partners,session_type,event_id,add_to_calendar,notes
5221,Role of Contextual Norms in Designing Better and Accurate AI Systems,"AI systems deployed across diverse cultural contexts often fail not because of technical limitations, but because they overlook the social norms that govern human behavior. This research session brings together cutting-edge work from various research, corporate and governance institutions to demonstrate how understanding social norms - the unwritten rules of culture - is essential for building AI systems that are not just accurate, but trusted, adopted, and effective in local communities.",2026-02-16,09:30:00.000,,Bharat Mandapam,L1 Meeting Room No. 17,"Mohit Jain, PhD; Philipp Zimmer; Sharath Chandra Guntuku, PhD; Sunny Rai, PhD",University of Pennsylvania,Main Summit Session,6920c931b5d0f57ed6f77cdf,True,
5144,Leadership Talk: Harnessing AI for the Future of Learning and Work,"This leadership talk explores how AI is reshaping global employment and redefining future skills. It highlights the need for continuous, skills-based learning to build resilient, future-ready talent, and examines how education systems, workforce strategies, and policy frameworks must align. Through real-world examples, it showcases practical, collaborative approaches to accelerating AI readiness and closing critical skills gaps.",2026-02-16,09:30:00.000,,Bharat Mandapam,L1 Meeting Room No. 18,Dr. Matteo Zallio; Mustafa Furniturewala; Rajiv Tandon; Sanjay Jain; Tapish Bhatt,Coursera India Pvt Ltd,Main Summit Session,6916e3bc5d05f4811c981c28,True,
5168,Embedding Trust in Innovation: AI Governance and Quality Infrastructure for Growth,"This roundtable convenes policymakers, regulators, industry leaders, and global experts to shape trusted pathways for AI adoption. It examines how AI-enabled Quality Infrastructure can strengthen governance, accountability, and global acceptance. Through applied use cases and international perspectives, it highlights interoperable assurance frameworks that reduce compliance friction, boost MSME competitiveness, enable cross-border trade, and position India as a leader in responsible, innovation-driven AI growth for inclusive, secure, and scalable digital transformation.",2026-02-16,09:30:00.000,,Bharat Mandapam,West Wing Room 4 B,Amanda Craig; Ashutosh Bahuguna; Chakravathy T Kannan; Jagdheesh Manian; Richard Skalt,"TIC Council (Headquarters- Brussels, Belgium)",Main Summit Session,691733455d05f4811c98633c,True,
5265,From Vision to Action: Scaling Equitable AI Advisory Systems Through AGX AI,"This interactive session convenes leaders advancing AI advisory systems in agriculture to explore AGX AI as a growing community of practice focused on responsibly scaling AI for small-scale producers. Drawing on work in benchmarking, data corpus development, and model approaches, the session highlights emerging learning priorities, key collaboration needs, and opportunities for participants to help shape the next phase of shared learning across regions and sectors.",2026-02-16,09:30:00.000,,Bharat Mandapam,L1 Meeting Room No. 8,Mr. David Bergvinson; Mr. Michael Minkoff; Mr. Stewart Collis; Ms. Sophie Barrowman,DevGlobal,Main Summit Session,6928c7803868e22afaca11f1,True,
5268,Inside India's Frontier Lab and Its Global South Impact,"This flagship session presents a first look at frontier AI developments, including a foundation model initiative. The showcase features applied systems, illustrating how frontier research translates into real-world impact. Joined by leaders across industry, infrastructure, and policy, the session highlights efforts to build end-to-end AI capabilities aligned with national priorities and broader relevance across emerging markets.",2026-02-16,09:30:00.000,,Bharat Mandapam,L1 Meeting Room No. 6,"Abhishek Upperwal; Dr. Mayank Singh,; Mr. Joseph Joshy; Mr. Rangarajan V; Mr. Sahil Arora; Mr. Sunil Gupta",Soket Labs Technology and Research Private Limited,Main Summit Session,69296894582686b851fd2d20,True,
5382,Reimagining Gender in Technology - Designing Safer Digital Futures and Advancing Ethical AI for Inclusive Platforms,"India is rapidly adopting AI and digital technologies across governance, education, health, commerce, and social life. While these systems offer inclusion and innovation, they also pose growing risks for women, girls, and gender-diverse persons, including cyberstalking, deepfakes, harassment, and algorithmic bias, limiting safe digital participation. As India's digital population expands, embedding gender-responsive, rights-based, and ethical approaches in digital governance and AI design is urgent.",2026-02-16,09:30:00.000,,Bharat Mandapam,L1 Meeting Room No. 15,Andrea Wojnar; Arpita Kanjilal; Carolyn Florey; Priyanka Chaturvedi; Rajiv Makhani; Rutuja Pol; Soha Ali Khan; Uthara Ganesh,United Nations Population Fund (UNFPA),Main Summit Session,692c0caa8c2fe8ea632616da,True,
5192,The Future of Employability in the Age of AI,"AI will create more job opportunities but also make many existing jobs redundant. This will also require skilling and re-skilling of workers across the spectrum. The Panel Discussion will focus on short-term and long-term impact of AI on employment, both at the industry level (e.g., manufacturing, healthcare, automobile) and function level (e.g., HR, sales, supply chain). Moreover, the panel will identify steps to be taken to mitigate the risks by enhancing opportunities.",2026-02-16,09:30:00.000,,Bharat Mandapam,West Wing Room 4 A,Dr. V Anantha Nageswaran; Mr. Alok Agrawal; Mr. Sanjeev Bhikchandani; Mr. Sateesh Seetharamiah; Mr. Vineet Nayar; Ms. Smita Prakash; Prof. Anurag Mairal; Shashi Shekhar Vempati,DeepTech4Bharat Foundation,Main Summit Session,69186b76e67b6cd27756545a,True,
5505,AI and the Future of Skilling: Strengthening Human Capital and Transforming Higher Education Institutions,"As AI transforms economies, developing strong human capital is increasingly important for workforce readiness. This session on ""AI and the Future of Skilling"" at the India AI Impact Summit 2026 will convene stakeholders from government, industry, and academia to discuss approaches to building an AI-ready workforce. The discussion will explore policy pathways, industry–academia collaboration, institutional AI readiness, future-focused skilling frameworks, and capacity-building across higher education to support employability, innovation, and broader adoption.",2026-02-16,09:30:00.000,,Bharat Mandapam,L1 Meeting Room No. 9,Ashish Kulkarni; Dr. Manish Kumar; Narayanan Ramaswamy; Professor MS Vijay Kumar; Shankar Maruwada,KPMG,Main Summit Session,IA95,True,
5444,Multilingual AI in Universities - Advancing Inclusion Through UA and Stakeholder Insights,"As digital technologies become central to education, linguistic accessibility emerges as a critical equity issue. This study examines how universities enable multilingual participation through UA. Drawing on Diffusion Innovation Theory (DIT) and Technology Acceptance Model (TAM), this investigation reviews stakeholder experiences across universities in Asia and Europe using an innovative AI-assisted interview methodology. The findings also revealed critical gaps in universities' capacity to advance UN SDG 4/9/10/17 through inclusive digital infrastructure while presenting billions of dollars opportunity.",2026-02-16,09:30:00.000,,Bharat Mandapam,West Wing Room No. 6,Sameer Gahlot,National Internet Exchange of India,Main Summit Session,692c80aff3a94d252c75e23c,True,
5226,AI for Road Safety: Data-Driven Solutions for Enhancing Road Safety in India,"This session explores how artificial intelligence can drive measurable impact in improving road safety across India. It highlights data-driven approaches for understanding crash patterns, predicting risks and enabling proactive interventions. The discussion focuses on scalable AI applications that support safer mobility, training drivers and building data driven hyperlocal models, aligning with Vikshit Bharat 2047 vision of technology-led impact for public good.",2026-02-16,09:30:00.000,,Bharat Mandapam,L2 Audi 1,Atul Singh; Dr. Priyadarshini Natarajan; Prof. Venkatesh Balasubramanian; Shri V. Umashankar; Smt. Usha Padhee,"Centre of Excellence for Road Safety, IIT Madras",Main Summit Session,69247f4c9bbb68523deb0993,True,
